time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	296.722047	0	-1031.82087	-1031.82087	-770.634282	353538.551	353779.148	39196.6424	39449.32	5862979.12	5863229.97	15701.4629	15950.0164	651430.031	651660.109	4133.17282	4409.20181	577.480919	843.034127
2	299.729615	0	-926.197834	173621.581	173886.679	505746.976	505930.793	2954620.18	2954851.47	79257568.4	79257793.6	380434524000.0	380434524000.0	139197.766	139414.962	-870.297832	-631.247163	2574972.76	2575205.55
4	294.313601	0	-905.567354	519279.416	519568.571	5690.05056	5933.6595	36408.6682	36674.3659	18357.0762	18622.0301	870009.315	870262.261	47426.0736	47669.3824	-849.667352	-571.950117	80861.046	81130.4472
6	294.988659	0	-959.245356	498907.97	499157.881	636.804928	834.603595	364.242708	593.194877	27223.6971	27447.9215	333711.698	333936.381	27343.4412	27563.9782	3528.36566	3780.34255	-901.575358	-663.327308
8	296.341155	0	-1030.99885	-894.908784	-923.408858	14534.4092	14465.1278	6109.58589	6082.19627	183931334.0	183931320.0	278118.796	278081.743	24414.7123	24377.6612	283706.494	283698.681	240318841.0	240318825.0
10	303.403651	0	-1039.02128	-881.456962	-931.431286	2506.95779	2412.78066	546532.307	546482.136	46529.9034	46476.1104	16694089.3	16694021.7	3796.39303	3733.8839	15702.2627	15669.6044	202424884.0	202424841.0
12	297.206234	0	-1030.59045	-906.825843	-923.000456	37768.8923	37708.2382	121009.798	120991.104	58258.3874	58238.3438	7975290.15	7975258.29	4358479.97	4358444.7	158448.808	158448.198	4246188.9	4246179.49
14	298.855297	0	-914.823511	110226.374	110445.091	38780.4676	38951.4289	175185732.0	175185926.0	47271.6948	47464.3576	5516066.94	5516257.75	39335.3344	39507.8886	-858.92351	-646.790926	2938121.51	2938322.3
16	302.55694	0	-983.492576	-841.738835	-875.90258	984493.209	984413.767	-478.687875	-517.103949	24934844300.0	24934844300.0	49.799828	0.366361893	7233.02091	7181.96723	481117.742	481095.669	1457631.86	1457601.58
18	299.866375	0	-999.468407	203870.024	203793.77	102212.351	102103.21	-755.302515	-824.138405	230900.788	230836.611	11664.5392	11590.3763	85344.0293	85280.8388	21331214.4	21331169.1	2254000580.0	2254000530.0
20	295.5255	0	-984.099845	-792.265521	-876.509849	42565.9584	42437.327	17840459.8	17840365.5	1850959.18	1850870.26	603546.975	603439.836	-178.251574	-276.287499	558719.466	558641.446	9086.77173	9006.53607
22	298.786695	0	-1044.29587	-1044.29587	-789.786573	2836773.97	2836982.26	5503.49036	5738.321	49099697.7	49099935.4	10478.689	10706.4127	4270.76018	4489.38785	-49.0660512	205.775489	1136687390.0	1136687640.0
24	293.400289	0	-963.248405	1690393.43	1690397.95	-516.472	-572.903948	-755.159898	-787.918403	11997297.6	11997266.1	64853.2226	64817.8244	722.861387	686.441738	60934.2393	60924.7147	144598549000.0	144598549000.0
26	302.428491	0	-993.441581	-866.606392	-885.851584	2018319.95	2018252.21	28616381900.0	28616381900.0	15930316500.0	15930316500.0	79474.5524	79437.7202	25493082400.0	25493082400.0	53660947.7	53660942.4	290220357.0	290220347.0
28	297.278612	0	-1016.99675	37070.2701	37037.4687	-866.797384	-937.046756	213139.091	213111.834	14879.3477	14847.1815	6320.99817	6280.99355	2589.42054	2557.64147	-698.222295	-703.865707	489178.218	489163.844
30	298.917298	0	-895.699786	1204.44166	1411.42174	7494.49571	7657.16305	171754.744	171938.353	1301893.09	1302077.67	2343548.99	2343724.24	162153.461	162316.525	-839.799785	-637.294266	245944229.0	245944420.0
32	292.110493	0	-956.318336	44404.1893	44397.2293	-807.090907	-876.368339	-535.570587	-562.879684	1188.78695	1163.08575	12708.0595	12668.428	-482.990288	-510.159358	84676.9654	84665.7321	1607643.22	1607626.26
34	291.3498	0	-994.319832	2176.58572	2182.90225	-860.562376	-914.369836	983813.269	983797.091	-73.6134488	-85.6327466	11865.25	11843.1397	-795.208877	-823.524383	3884.50008	3884.68422	-360.471664	-369.633891
36	293.410055	0	-988.766387	-988.766387	-762.456822	4138.94962	4321.74042	63729.0621	63935.1178	6059.04172	6255.14202	894846.968	895052.676	5882.86482	6073.73845	110601.792	110826.14	9428165.09	9428379.27
38	297.197204	0	-947.438058	50290.659	50531.2075	269444456.0	269444644.0	16787.0071	16999.9215	5717861.51	5718077.46	57678977.0	57679182.3	257314.621	257507.708	-891.538056	-662.631826	705820.553	706040.423
40	301.103552	0	-1026.82068	-1026.82068	-703.997568	5695.96133	5981.71427	1686.46656	1992.1138	18982156.3	18982460.6	1470.045	1775.15806	260405.984	260689.753	10028.616	10348.0011	1989920.6	1990232.94
42	292.778509	0	-1040.37607	-880.742025	-932.786074	9212914.35	9212833.69	2915416.93	2915365.35	271890463000.0	271890463000.0	1651391.35	1651322.52	313.233761	244.211114	-86.062219	-132.377513	1106124820.0	1106124770.0
44	298.250562	0	-1022.57925	-892.896353	-914.989255	78924080.7	78924005.3	17411.9677	17381.3183	19037.4099	19009.0949	68225.6171	68187.3227	55455925.9	55455895.5	-734.663985	-741.851307	1942.66311	1930.68144
46	302.958868	0	-939.168701	3283905.7	3283877.89	5672814.75	5672742.03	4870845.29	4870817.52	876166.65	876142.964	12797946.7	12797911.1	70617.4571	70585.949	-725.37559	-726.054372	-764.276979	-779.8087
48	289.364334	0	-977.182598	-977.182598	-712.201237	80064.6033	80287.3712	1707.60474	1951.11862	3634.13015	3876.69659	2108104.93	2108342.17	2204.20251	2428.28469	1083.5416	1340.5805	5968028880.0	5968029140.0
50	302.578832	0	-1018.22369	1885719.49	1886000.07	1662304.95	1662505.07	523166.302	523406.146	13505.5254	13742.0293	5692743.05	5692974.29	-1023.98369	-785.730273	-744.335749	-487.22891	10758.5489	11012.6959
52	296.879145	0	-945.483587	7189148.8	7189378.07	-713.235661	-522.771814	301.497752	530.816122	-853.663587	-621.023133	2164099.9	2164320.88	-647.608973	-430.054094	835.561468	1082.3409	10481.2422	10721.8589
54	294.082022	0	-996.580477	1397328.19	1397263.04	579.602797	473.377678	7253.67821	7186.59602	-738.268751	-813.030473	-378.188634	-461.639805	74914.2092	74840.1528	43516.6995	43464.0538	59639.86	59582.2496
56	291.330866	0	-947.059918	-402.148188	-380.530149	-768.803479	-867.109922	357977200.0	357977136.0	3057326.98	3057265.96	1090226530.0	1090226450.0	24060.5748	23994.7319	6773077670.0	6773077630.0	5452452.21	5452403.27
58	302.274398	0	-953.937362	64517.0766	64490.9742	-444.990413	-518.873525	-576.142312	-615.265207	-729.63009	-770.387359	28681.6225	28630.9601	1856.28424	1817.11765	-616.468056	-641.243303	-326.197211	-350.991753
60	296.124498	0	-1035.35562	-892.597969	-927.76562	42571.967	42490.4815	8957.67973	8910.20443	3988767600.0	3988767560.0	18493.6559	18433.7457	2401.93546	2351.12167	16261677.8	16261651.1	14216031.4	14215999.7
62	297.940759	0	-931.981876	86404.7851	86616.926	-771.216913	-610.739709	58624.1234	58814.0005	-840.161877	-649.829481	10522.7331	10700.5642	6432.83371	6605.70705	2345.15938	2546.7713	-400.962259	-203.592794
64	301.369755	0	-947.604296	46271.8267	46531.6394	1294427.2	1294621.3	59956889.5	59957112.6	253314.734	253537.742	3148767.74	3148979.35	920516.525	920760.566	-857.662842	-615.101197	-889.934295	-651.982106
66	297.932989	0	-978.881332	-978.881332	-725.470136	-734.854172	-533.45299	-194.91325	33.6160968	-468.149233	-240.532718	-730.669328	-511.977655	-273.773312	-50.6010358	-610.612742	-367.255385	-682.204284	-446.253536
68	297.384532	0	-997.419432	-826.734081	-889.829436	1258.31529	1155.64788	5383.64109	5311.0371	16711.582	16645.0404	10689.8587	10603.4476	8272.28173	8190.86254	-434.156909	-489.211977	-359.902724	-419.694266
70	301.391219	0	-990.251016	2703090.88	2703065.56	79901.4904	79806.7387	2711706.1	2711646.45	146985.124	146923.155	230490678.0	230490605.0	791239.61	791173.164	-742.24278	-785.767029	-781.231532	-830.891014
72	293.762409	0	-922.80799	14622.5464	14631.9724	4448.09521	4394.67136	-725.900899	-747.477988	-280.519379	-298.258806	3635.40372	3613.35452	1063540.05	1063530.55	18942.272	18949.2558	39390923.2	39390918.0
74	300.655474	0	-978.270419	270666.184	270928.121	1924.9426	2122.66463	16897.0615	17120.4988	29714853400.0	29714853700.0	1700653.84	1700868.97	62522.8044	62750.9478	-922.370417	-674.822673	132157.872	132395.471
