time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	304.564895	0	-1031.82087	-1031.82087	-770.634282	353538.551	353779.148	39196.6424	39449.32	5862979.12	5863229.97	15701.4629	15950.0164	651430.031	651660.109	4133.17282	4409.20181	577.480919	843.034127
2	292.275467	0	-953.958231	-953.958231	-695.610544	901.157583	1048.91287	39.3431572	202.026916	1246991.3	1247148.36	6773.85586	6934.90373	6427.36393	6577.40079	2968411.38	2968597.23	37104.905	37281.688
4	299.425044	0	-915.696998	7305532.98	7305797.27	176405.492	176597.613	412561.317	412762.571	2107853.56	2108050.12	50958285.4	50958482.3	316763.512	316950.082	-859.796997	-642.630668	41245396.2	41245605.3
6	290.864185	0	-982.699204	-982.699204	-754.567887	-747.216341	-606.642525	-360.170325	-196.511112	15922.2367	16076.3755	5439.04998	5593.69383	8161.11837	8302.57006	72.2172269	249.469512	1166349.47	1166520.24
8	300.966427	0	-967.515998	1952841310.0	1952841570.0	3315021.07	3315225.67	72487.4053	72728.0035	822231.445	822462.651	964463.095	964691.154	127862.101	128089.376	-911.615997	-657.505734	13467.185	13714.4094
10	303.410768	0	-937.007864	865328.723	865632.491	6103.32812	6353.10883	1087.7751	1363.37919	15094.1866	15364.4605	17971.5693	18238.0732	38667.3282	38933.5046	-881.107862	-588.453152	116287.49	116574.88
12	306.838038	0	-1013.92165	-867.567717	-906.331659	37401.1196	37317.3207	1031056.25	1030998.35	314133.424	314078.151	178.69755	115.785758	2564.39743	2499.19533	-67.4854429	-104.343476	119372.484	119329.504
14	299.946008	0	-982.946409	-840.143399	-875.356413	20796.9822	20706.959	503357.456	503309.823	110467959.0	110467912.0	475654010.0	475653949.0	7696.26559	7642.2975	34561646700.0	34561646700.0	14310809.8	14310776.7
16	300.796923	0	-972.860611	139201.022	139133.628	43413250.5	43413146.6	2821412760.0	2821412690.0	-713.999141	-789.310608	1215875.84	1215796.12	-585.624391	-659.163788	2675.91855	2631.47209	25097.5489	25043.5305
18	285.053476	0	-989.026044	8460.47754	8670.61609	23669.7458	23851.7026	-518.684034	-307.042119	2031.52752	2241.9862	-922.106046	-725.738111	8031.6645	8215.07525	612.500467	835.214534	-766.034433	-553.576939
20	298.922128	0	-1034.16707	-909.574393	-926.577076	198287257.0	198287196.0	8324.62768	8297.62455	274882.852	274856.065	-493.340694	-533.768039	7575.80968	7541.36313	116670.485	116660.83	789482.716	789467.196
22	294.692053	0	-1047.5431	-903.65246	-939.953106	4704.5896	4644.06292	35093.8792	35058.5737	151241.044	151197.117	875294.832	875247.268	450082262.0	450082214.0	-467.24883	-484.863857	43396.4313	43375.7242
24	294.797178	0	-928.079802	2861.37586	3077.07838	1199.78848	1373.79771	-843.669798	-641.347029	-673.936709	-478.861048	50743.8181	50934.3677	-623.114243	-428.366476	-785.356373	-565.56952	10527.6531	10739.7214
26	299.788168	0	-1010.84594	10801.1764	11043.5766	10489164.4	10489341.5	981.61674	1196.56608	10629999.0	10630210.9	-943.925937	-740.316771	724456.679	724673.571	30094.9611	30333.9896	49488.4657	49717.722
28	302.224834	0	-934.125738	1213578040.0	1213578320.0	41949.0419	42155.2985	5857267.41	5857519.54	1593112880.0	1593113140.0	2031947530.0	2031947770.0	43669.6183	43905.8174	-878.225736	-610.059632	-751.960792	-492.434281
30	306.958192	0	-984.575455	-845.547214	-876.985459	987478168000000.0	987478168000000.0	3822.58801	3791.93537	49248374.1	49248346.3	1347759.69	1347713.37	91386284.5	91386240.6	-138.772418	-154.104308	-625.562589	-644.71891
32	297.294523	0	-971.251302	28880.2745	29132.9697	-881.666707	-683.268633	-265.838591	-30.0742856	772419.101	772643.787	-904.331304	-677.610093	-337.013428	-105.609662	-682.967814	-424.936992	65509.4472	65755.7254
34	294.24707	0	-954.626131	3461.5825	3681.25182	-166.191824	4.71554078	-870.216127	-666.650694	2934.71259	3135.43393	27647.9903	27841.9008	25332.5626	25510.2461	-828.319624	-612.763707	7349.34968	7558.30672
36	297.428828	0	-904.047755	676382.983	676608.172	95089853.4	95089996.1	3757536830000.0	3757536830000.0	17554798.9	17554999.8	1287389530000.0	1287389530000.0	827886910.0	827887107.0	-848.147753	-633.222286	10875.2518	11089.2082
38	292.89266	0	-981.186416	4250.71296	4210.75695	-801.499585	-901.236417	-710.271184	-770.377944	-289.145665	-350.032162	7053.57709	6978.56712	-575.948063	-645.88421	8711.46145	8667.33381	8574.66067	8522.20927
40	297.621003	0	-941.676474	17765.7731	18098.5809	422.304985	668.376818	35805.0388	36089.8547	418099.06	418377.72	84319696.5	84319974.5	103990.217	104275.915	18966.0874	19270.139	-884.006476	-589.100412
42	293.70193	0	-933.186568	50492340.6	50492572.1	12317746.1	12317919.3	4338734.97	4338924.54	1159526.48	1159721.55	16298914.8	16299105.9	33961.3506	34141.5398	-877.286566	-672.183458	350427184.0	350427383.0
44	299.671962	0	-949.927835	327122.921	327084.641	4691.84343	4600.46939	440.591852	395.841014	113240223.0	113240174.0	166294.896	166238.22	1099.21526	1048.42622	-386.600213	-409.330873	-755.477668	-790.567835
46	296.685834	0	-1039.87918	-1039.87918	-739.49805	2049.22892	2304.14673	23913994.6	23914276.0	188443.766	188717.434	5008663.24	5008936.81	629.977103	907.615738	1316.89584	1626.51876	-63.3391903	230.96205
48	298.881285	0	-962.260647	-962.260647	-712.85319	149107679.0	149107899.0	1021538420.0	1021538660.0	93014466.3	93014704.2	26927.7857	27173.074	901927.922	902153.824	11178.8698	11449.9145	406102.312	406357.989
50	294.610375	0	-976.275745	-976.275745	-729.343813	316245.04	316432.509	5114.18068	5320.46276	-43.3282535	165.218436	3577649.9	3577852.71	21073.8295	21263.8469	230738870.0	230739099.0	-679.354102	-464.3068
52	300.902549	0	-988.206829	2670.04193	2626.86456	290.102396	210.52753	-484.541482	-528.547427	598.586628	556.021978	-781.687317	-842.376827	6464.05601	6412.34722	10631.6478	10602.0969	28368.9314	28332.0875
54	293.526885	0	-965.613781	3183.20381	3127.08547	2818.84527	2744.56486	-481.139108	-532.185141	127178.101	127126.11	-754.811263	-819.783779	-459.524287	-520.314423	-687.72349	-725.073933	-593.063421	-637.862976
56	298.989977	0	-906.152998	377146.789	377122.588	1042988.81	1042896.96	43826.769	43770.2921	1239398.73	1239342.39	9873291.09	9873220.23	24316771.1	24316704.1	3308908.52	3308868.15	-699.706226	-746.792997
58	300.772158	0	-931.985986	194073.764	194089.37	942129663.0	942129590.0	758731.562	758741.065	63808.4542	63820.3123	3374160410.0	3374160410.0	14365137600.0	14365137600.0	2721.79519	2752.81313	-787.51844	-772.625986
60	297.480731	0	-940.498481	1905630.39	1905628.68	139835595.0	139835533.0	10777920.6	10777914.7	50952953.1	50952950.0	25425.6318	25414.8593	1099001.08	1098998.6	68839.3573	68849.056	-784.198047	-781.13848
62	298.183388	0	-956.692081	7464380.2	7464614.9	278921.891	279076.287	3698024.05	3698218.23	42925675300.0	42925675500.0	131718183.0	131718370.0	195699781.0	195699957.0	-900.792079	-689.88038	377271.996	377473.922
64	295.886079	0	-911.061665	6306523540.0	6306523800.0	1514228080.0	1514228260.0	189719592.0	189719817.0	3094296480.0	3094296710.0	295210851000.0	295210851000.0	20609027900000.0	20609027900000.0	-855.161663	-611.142044	188004184.0	188004418.0
66	296.724097	0	-953.572383	-953.572383	-647.304777	8056105.0	8056367.4	1639.14146	1922.78487	1375726.11	1376001.53	10569193.1	10569469.4	2203258.11	2203517.86	1241.00448	1541.62086	372.155385	663.269642
68	301.077828	0	-970.298878	-586.907403	-616.962916	-728.000478	-789.011368	-698.509957	-728.683502	-753.226656	-786.748875	1948.31257	1903.14134	-690.810837	-735.765548	3405.9544	3390.3054	42214.7949	42189.6149
70	293.993727	0	-894.484346	3109580.43	3109810.82	10414002.3	10414160.2	5321167.52	5321370.84	2034550.39	2034752.52	5425198.99	5425390.24	1602373.15	1602565.87	-838.584345	-620.591535	914303.836	914513.199
72	299.243205	0	-997.183856	-997.183856	-718.55594	7205.41578	7433.90755	-676.184513	-427.286348	121045.001	121285.413	2836473.87	2836719.02	-19.0676941	209.316365	-711.77708	-442.638892	362.753889	619.945526
74	292.659667	0	-1031.49064	53991.4155	54267.0183	-901.079525	-665.877324	-442.428568	-179.114657	805.152217	1066.35219	-964.57064	-713.663156	-455.107002	-206.505966	-791.720101	-508.998724	25180.0989	25450.7626
76	303.950265	0	-1003.09742	197402.104	197672.187	-981.037424	-764.598783	27092.3355	27339.1728	352.69826	594.444129	439045.449	439278.736	-687.545951	-457.438184	111047788.0	111048053.0	-813.25299	-561.461759
78	292.175653	0	-916.090555	3194219.94	3194451.96	1556.8557	1725.19822	992.099977	1210.32469	-136.011529	78.314115	-849.170556	-645.415864	5010.85195	5231.25977	125846.685	126084.862	48726783100000.0	48726783100000.0
