time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	319.15314	0	-1082.91546	-1082.91546	-856.4063	1676188.98	1676330.39	3686.9063	3867.30155	30812.0417	30985.604	726302.6	726469.316	6018.61382	6176.68078	16039.0021	16232.8506	16208.8588	16393.6405
2	296.285297	0	-1089.53658	-613.763695	-675.751181	-934.203788	-1003.21658	19952.2822	19916.0546	104226.973	104194.493	6039.47303	5991.85693	123.340337	83.8471196	658.019667	635.84423	14165.563	14140.7782
4	297.934077	0	-1085.06628	153.459638	91.4749846	-927.546684	-998.746276	139676.515	139639.427	1693024770000.0	1693024770000.0	97771.625	97727.8417	3641582.68	3641534.96	61529957.3	61529936.9	179906646000.0	179906646000.0
6	295.966612	0	-1091.94965	-858.937383	-837.996774	16642.7737	16547.0838	18174512.6	18174455.5	-821.612155	-889.089647	3620.41883	3548.43826	72997.1109	72926.2969	-306.357226	-349.75839	4545722.62	4545676.51
8	293.540128	0	-1048.21037	-1048.21037	-836.249474	2377.50137	2481.4412	1320044.61	1320187.93	10920.8356	11062.5192	233068.574	233194.944	98013.5317	98138.0409	765.93744	923.634237	732166.544	732316.039
10	297.587244	0	-1035.08704	6196.72246	6189.78358	-931.408274	-948.767036	49322.1757	49344.8441	8148782.68	8148806.45	2099.65526	2109.87511	128255.022	128269.291	541227.284	541264.125	154382.0	154415.806
12	295.391545	0	-1012.152	1809947.19	1809910.03	36843109.4	36843083.5	7744033.71	7744026.34	47104508.7	47104504.2	73687.5351	73669.1524	394094488.0	394094469.0	-818.152093	-815.521993	5797049.76	5797048.72
14	301.252733	0	-1095.20291	-941.148851	-987.602913	94368.7643	94311.3979	1788.40291	1758.75728	437575.998	437545.415	152103.607	152067.253	263782.555	263746.385	44392.7448	44379.4481	95807.4152	95788.676
16	293.55851	0	-1010.40804	624922645.0	624922665.0	3176318.72	3176240.99	23652332.0	23652286.6	4942215030000000.0	4942215030000000.0	99880705600.0	99880705500.0	95632746.4	95632685.1	-779.424742	-813.778037	270690.722	270652.773
18	296.957762	0	-1082.07661	-950.25643	-974.476608	574.151854	537.376493	-268.384179	-278.489319	215875.796	215867.609	659531.603	659510.559	-806.718798	-823.953515	1157.68104	1165.0868	42929.8176	42929.9564
20	298.787027	0	-1023.08171	8333446270.0	8333446410.0	1954679.82	1954641.16	122134254.0	122134240.0	1159273400000.0	1159273400000.0	7390967200000000.0	7390967200000000.0	287833413000000.0	287833413000000.0	-831.594258	-826.451705	2595.1066	2596.99345
22	297.234276	0	-1061.27646	512.15318	589.677218	-930.762685	-974.956465	2528717.54	2528710.3	1722876340000.0	1722876340000.0	2250.67237	2235.84195	206926.99	206913.135	3387406.6	3387414.02	24955.6353	24962.5124
24	297.765399	0	-1130.96076	-980.408415	-1023.36076	2230.79284	2180.36118	11663.5096	11642.1977	25003881.9	25003858.5	133502.595	133468.133	1190.20249	1164.69191	50885.5166	50881.8971	6953167670.0	6953167660.0
26	297.452964	0	-999.141127	-999.141127	-692.968442	15641.4705	15791.9373	372078.606	372264.899	1126.97531	1311.38859	2376142.2	2376310.77	-551.474127	-382.241679	25982.2691	26179.8539	8502275.71	8502466.3
28	297.559197	0	-1025.09889	82058.91	82073.3626	24649.5538	24582.362	806325.207	806288.84	171833746000.0	171833746000.0	22565440.6	22565403.1	324936183.0	324936133.0	-807.935935	-828.468888	8856717.17	8856690.93
30	301.644897	0	-1068.01226	-568.58365	-516.042904	-919.287141	-981.692261	21175.489	21143.6571	3139996.99	3139967.1	-264.24206	-303.597158	794460.812	794423.779	-369.821689	-383.463589	4176430.99	4176410.27
32	297.528804	0	-1024.72117	110636.259	110758.494	434617700.0	434617647.0	644191.39	644153.34	4208893.12	4208855.89	816904.123	816864.829	81530798.3	81530746.7	-805.365761	-828.091167	47954715000000.0	47954715000000.0
34	300.935144	0	-1080.22437	-755.081883	-695.700022	-913.053176	-993.904373	45691.6143	45655.4363	1407837980.0	1407837950.0	9069691290.0	9069691240.0	189077.661	189033.378	-383.035346	-406.754271	4113464.03	4113437.59
36	295.893569	0	-1076.84649	-685.292364	-599.953653	-969.964755	-990.526492	27491.8622	27506.2062	6088.30581	6100.88232	20873.043	20875.9127	344361192000.0	344361192000.0	-667.260605	-639.877319	158663.868	158686.111
38	300.544919	0	-1059.85765	-975.389388	-952.25765	278558.861	278556.25	-733.889063	-708.778034	652242.004	652269.55	121526.527	121543.747	13135.7818	13157.5801	92002.1024	92045.1061	16955.0328	16992.6786
40	301.29102	0	-1046.99081	71098.6286	71198.1347	-932.298618	-960.670806	4120.68615	4134.15059	1602085.68	1602097.64	84957.1599	84950.1797	3876.06551	3878.61244	39486.542	39508.8627	65972.3835	65991.1171
42	294.936963	0	-1102.136	-913.761897	-994.536	79880.7913	79785.8658	2249.40736	2184.51588	6513270.54	6513203.54	23531.3776	23456.8728	791.731063	720.646202	-572.04692	-622.372823	279899.604	279843.92
44	294.865492	0	-1056.98059	-283.18369	-147.681479	-1022.60059	-902.471925	861138.426	861300.271	62912.5879	63066.2242	40044.24	40189.5361	2817.16423	2958.25325	57411.8801	57581.6489	391958046.0	391958212.0
46	298.962509	0	-1022.11339	-1022.11339	-834.534601	548.515931	654.035817	-197.358549	-50.5290174	26690030.8	26690169.4	26337.8735	26463.5239	-515.330021	-389.840126	7191448.31	7191603.95	45805.8472	45954.5266
48	302.498792	0	-1106.67864	-954.233473	-999.07864	316705939.0	316705886.0	1462.33396	1431.76875	1161809.46	1161775.4	4359363.63	4359322.83	512162.408	512122.785	-815.815568	-827.004716	180161.016	180140.69
50	295.955309	0	-1097.91186	-946.701245	-990.311861	829.512018	767.222507	-112.93567	-139.29319	136360.604	136330.358	53436.7315	53400.7472	-334.302575	-370.916956	5536.7653	5527.42913	58702.529	58687.0524
