time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	320.070641	0	-1082.91546	-1082.91546	-856.4063	1676188.98	1676330.39	3686.9063	3867.30155	30812.0417	30985.604	726302.6	726469.316	6018.61382	6176.68078	16039.0021	16232.8506	16208.8588	16393.6405
2	296.161513	0	-1045.37435	-1045.37435	-814.420604	1141.15804	1267.404	-371.507655	-203.72302	146900599.0	146900762.0	7639.41625	7790.03396	417.505683	572.564651	17496.989	17681.5095	12511149800.0	12511150000.0
4	295.51621	0	-1082.05138	-913.729362	-974.451386	2798.34554	2721.88281	9091.06982	9046.72677	27574235.1	27574190.5	100052558000.0	100052558000.0	23318.2319	23264.778	2943.17375	2913.84663	86100.4986	86067.1069
6	297.161539	0	-1055.49837	57.1458648	63.2583104	474593.98	474495.479	1605055.65	1604981.8	16489530.3	16489462.1	-817.661692	-900.688378	623320.75	623238.057	2451426.47	2451368.0	248906933.0	248906869.0
8	296.561078	0	-1103.11302	4469.84374	4579.00224	672.008089	577.602024	327050.579	326995.472	-832.836223	-900.253021	10473.8854	10403.0801	1086609.01	1086540.01	3984506.77	3984467.36	3239003.74	3238959.38
10	292.601118	0	-1053.47738	2450.87524	2373.01119	-888.490939	-967.157378	3401860.79	3401815.98	41265034.8	41264991.9	7511.25854	7459.32802	196138.403	196078.968	418992.313	418963.064	11898774.8	11898739.8
12	295.257874	0	-1013.99263	8621910400.0	8621910360.0	3825672770.0	3825672720.0	759389297.0	759389277.0	78951200500000.0	78951200500000.0	84687748600.0	84687748600.0	324353.766	324331.133	-812.062652	-817.362621	3389776290.0	3389776280.0
14	294.379593	0	-1076.45719	-971.205743	-968.857193	-169.775138	-197.556053	74735.8717	74738.4708	43196.9715	43201.7272	8945.75474	8936.59768	-520.848034	-515.454557	646061370.0	646061394.0	89646.9582	89663.9064
16	293.111087	0	-1074.10351	-926.686764	-966.503509	2281.85434	2230.87873	13068493.0	13068471.6	14763614.7	14763596.9	7522601.18	7522573.46	32626.702	32597.6976	41782.3968	41776.6265	72415.1589	72404.3262
18	295.197982	0	-1090.46132	227993.43	228028.802	36275.3402	36211.1686	1810856.25	1810824.35	-843.437984	-887.601319	21510.5288	21473.0937	41182249.8	41182198.9	-101.989841	-121.689576	27261.0325	27238.6877
