time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	316.704664	0	-645.491568	-645.491568	12143.8058	-246.579838	-484.482142	-580.946928	-467.26515	178483.092	-108.272755	-606.927716	-429.232907	37872808.1	21617.0833	156720731.0	709983.818	21335.1257	-463.577076
2	299.096444	0	-446.093827	-243.482855	-389.621934	-249.288649	-512.36817	-235.866877	-439.577067	188540.61	518.525889	-335.819307	-586.013704	500.965307	-583.719373	-92.3558567	6.25041722	29355.963	-447.706416
4	295.502354	0	-488.451656	-235.452532	-431.515851	-186.556888	-616.171658	-210.646921	-213.14493	25775557.6	1623.63357	199507.693	1573.6873	782.527457	-133.60061	84595.2941	1953.30575	-22.6922118	-367.121487
6	303.086214	0	-455.991749	-134.388246	-374.397127	-144.897599	-583.71175	-141.396545	-374.061227	4021744620.0	4636.16597	1265912.77	751624.296	15966.2506	2158.28646	73076218.8	5103.40254	778.707463	225.909442
8	302.529983	0	-551.876677	-262.034251	-551.705707	-74.9383277	-679.596678	-200.628177	-478.179696	21986.5104	-246.81112	-144.886181	-534.004414	-251.53124	2151.03766	123.766786	3491.02842	-197.074333	-455.787842
10	294.00165	0	-490.846115	70.5217817	-541.135793	1954.02438	1195.42322	-142.752629	-522.385241	1063422270.0	9094.3232	-37.2370677	155.197694	203.355029	-455.972649	-302.269179	600830.988	721.00513	-200.325075
12	298.713993	0	-488.111012	14596.65	-285.147877	-256.301144	-615.831013	-179.941599	-190.903465	9112.24011	10878.6588	5931.70485	457.974176	88704.698	4280890.48	244.785263	-484.477039	24114.249	16322.5595
14	300.445093	0	-510.981007	-301.757926	-404.455485	-312.418081	-638.701009	-148.045236	-409.438389	11335.8645	7202.77013	302.112679	1628.53413	4327.35541	27967.8562	-299.067673	-150.683026	1196.19043	-202.217435
16	297.693202	0	-527.512691	-130.350752	-429.733553	-57.9099782	-655.232692	-166.290698	-431.829863	90026.6648	2919.05658	-114.995883	3548.47205	991.707123	-343.588458	307.526728	-324.367379	135.300383	-418.86932
18	295.026744	0	-496.756512	-151.138337	169.103996	-248.16829	-624.476514	-112.760788	-421.266635	3348.61712	896.651824	12923.4812	775185516.0	39618.5504	8035290.18	73.9153675	961.498177	1805.43886	2551.14688
20	297.993284	0	-543.696995	-171.129313	-494.888231	-87.3202922	-671.416996	-259.920135	-479.841226	33616.0012	-26.4934725	1129.99439	7158.10308	2697.96956	-387.534735	2569.38135	418.5628	6171.07211	1063.51407
22	307.805106	0	-507.018442	913.249931	16266.8976	-257.433613	-634.738444	-165.203022	-329.252218	1159.34506	1393.77004	3198.68971	3135089.14	4645322.18	8283635.29	754.117958	168.363738	-24.3869653	45722.6293
24	296.852262	0	-562.273338	-336.924926	-326.986253	-342.542266	-302.346733	-521.645548	-400.008944	-498.55083	539941.961	-465.302401	21589.1856	4560.75861	1137.11788	-653.179957	955.060967	-531.103333	-448.619611
26	302.239733	0	-548.450872	-279.574155	-527.05838	-303.031073	-431.019884	-213.670089	-526.793922	-165.318651	-499.639974	-302.030537	-525.588572	-265.984181	-600.765598	438866.174	-771.960866	-60.806167	57.4026849
28	300.717836	0	-666.91666	-578.236342	-301.752988	-520.546832	-238.304049	-658.99666	-532.662236	2431.99568	694.504606	3633.57655	114372.261	-220.069069	3997.14572	-557.811648	3357.81765	-21.3286071	12690.6993
30	298.361344	0	-610.777088	-535.497902	-385.261346	-621.737088	-494.348681	-481.178052	-310.141039	-159.842665	31.0050748	167550.268	35043.6498	939894.655	1987.44438	-32.459035	439.360382	8732390480000.0	81435.2749
32	299.86275	0	-580.373187	-514.07107	336.045987	-591.333187	4793.10786	-444.246738	-224.322886	244.912501	421.383783	294458.13	570.449229	14.763462	94.9947867	-192.856772	-312.503737	1409156100.0	8577.35737
34	296.349851	0	-497.353356	-243.044006	-363.341371	-273.338213	-625.073357	-245.99793	-448.981103	50695.3177	-139.548035	81.6501012	17726.9744	1552.8462	-574.848546	24.0845558	44903.1948	1172.12438	50682.1177
36	297.651776	0	-529.404948	-265.894754	4499.84351	49.1477013	-484.644305	-275.95387	-147.915258	23541.9929	1982336490.0	497240061.0	185361.997	-142.840316	864.423686	-451.142751	-752.914942	56608808.8	60074.9199
38	295.840367	0	-600.699526	-528.366909	-379.551226	-525.78554	-356.475162	-198.430848	-418.215559	142921.89	-454.395523	-649.529527	-510.137656	-475.044837	-538.024848	-649.980432	-30.450791	-482.796647	1913756.82
40	299.423511	0	-619.941357	-518.387017	-381.696653	1311.24987	-576.918264	-529.73075	-376.021777	62.1995358	113.025511	-579.701729	67540.9909	-497.47344	-460.75415	-779.271359	3279.82011	-242.272161	-14.5538973
42	295.545387	0	-588.205321	-414.188924	-369.495847	-599.165321	-216.491905	3799.4598	14.323195	-373.742834	-220.405655	-551.936803	1212.32039	1428.90661	-440.86618	1344.36533	1991.64378	20441.8178	-300.758018
44	294.315588	0	-508.592405	17.7962782	-406.301838	-318.453458	-636.312407	-242.643573	-384.678846	37287.5237	2207.60309	3840.40158	16761.615	3473.52445	1118.03806	105.764557	30114.1083	6092.59878	660.577808
46	299.276349	0	-583.400743	-487.812324	7818.23968	-594.360743	-328.848079	-468.468366	-339.773333	-389.860629	-360.600675	956.672201	2457.15265	275776.486	2461.8382	125985.717	121485037.0	115928940000000.0	-333.355585
48	293.607566	0	-513.739045	112609.234	-452.816722	-273.052224	-641.459046	-196.070156	-374.576926	544.68342	18799.0909	2170.38187	-233.078103	3092.43564	2846.76484	539.131454	39749.5924	451.889127	218.063415
50	299.770236	0	-517.190915	-255.564279	-511.06471	-248.449535	-644.910916	-149.223107	-480.665378	214.708725	2413.66226	53.5740255	559982.397	697.578198	308012.219	582191.347	23.9825286	-206.390382	-375.762572
52	298.838321	0	-580.450423	-555.430175	-399.630637	-550.957537	-485.61139	593.993097	195.366748	-555.106166	-372.783519	-567.946862	-474.627741	44482.8515	-468.776153	-739.780233	4271748.74	2694969.88	-352.901927
54	299.219709	0	-511.204756	-286.825256	-461.83056	-154.937768	-615.197606	-289.993419	4730.60224	-268.779861	5329.48301	7705.82481	-568.025517	-326.213489	-673.41459	-303.883156	877.303514	1081465.02	-339.480071
56	294.654296	0	-547.281422	-253.792272	-280.747433	-498.578331	-476.942217	-490.785652	-323.746825	-547.267679	-459.765007	2079.84631	587.161473	-542.880542	-521.545619	-688.766538	1051.11491	-338.813788	809.16153
58	301.685436	0	-556.507331	-523.814459	928378038.0	-289.762386	-459.403855	31104.6185	76463.6579	-270.723867	1421.61767	-605.337226	10088.9899	3075661.61	-575.966894	25168369.1	5255.06386	-500.317694	1817336.49
60	290.804196	0	-588.578078	-445.414389	-392.288492	2300.99451	-464.896879	-517.662448	-359.192008	-221.631907	-204.515309	-594.697096	1140.01263	4858.35798	-507.746315	-747.90808	569.108082	-426.663322	78753462.1
62	296.678609	0	-557.580227	-414.85685	-539.878344	-392.687554	-685.300223	-368.170204	-520.875231	811.530521	29379.3507	-288.687156	-390.230006	-341.862034	3292.7142	7895.52278	-748.841102	-380.001818	24515.85
64	295.219669	0	-512.474706	-346.779639	295224795000.0	-283.659701	-640.194708	965.804867	-134.735264	1156323150000000.0	-342.412393	-223.013555	10488.0005	144.19945	-270.060103	5318188730000.0	3814.77209	158.236881	-413.373719
