time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	317.72341	0	-645.491568	-645.491568	12143.8058	-246.579838	-484.482142	-580.946928	-467.26515	178483.092	-108.272755	-606.927716	-429.232907	37872808.1	21617.0833	156720731.0	709983.818	21335.1257	-463.577076
2	295.210369	0	-571.762213	6678.85369	622.595121	755.967602	-699.482214	1516.36846	126849.159	333885.771	-485.827305	269246.351	60.139401	491.479794	-539.803574	485459.05	82077970.4	12156.3557	12989.6003
4	300.912341	0	-567.453049	-373.198903	-555.953442	-440.468227	-695.17305	-310.491052	-510.819174	-356.68781	-452.27681	-330.191783	-643.342711	-348.715798	2465.43896	-551.332382	1429536.69	-335.900537	-551.439986
6	298.548621	0	-516.904555	-209.579105	-58.2763097	-124.532829	-644.624556	-169.397525	-106.236969	515672.289	-514.110858	6492.17689	8089.39228	5238.99061	-493.083437	997.685024	-619.405996	-198.72692	21155.228
8	298.176789	0	-607.326549	-499.063237	3008.31803	-179.609904	-446.790934	-599.406549	-413.078049	9049.8044	3192.82359	814.655915	1823.30138	2398.46335	1289.60904	202600.257	1157.83286	1763.51968	400.984267
10	297.310344	0	-581.835035	-520.86981	-429.463828	403683.435	324.619672	-573.915035	-452.205683	-13.2760186	8750.68839	-469.31794	2848.69805	58146.4478	1629.19185	194235.676	4745.91172	639.471578	-359.721976
12	299.396031	0	-522.366593	-170.730252	-474.11929	-208.529221	-650.086594	35012.8285	-472.679381	907.537571	261.9747	983.201301	352.943754	375.124337	-186.650128	442.474112	373.449358	-43.1318239	-329.026573
14	300.973104	0	-587.93679	-369.27911	45165.3983	-273.339596	-525.910463	1448.78436	1317.75599	-321.549131	1516492130.0	2441048840.0	109.178856	-252.337237	2962167.47	-747.266792	38452721.6	-389.01485	9381489.78
16	297.64355	0	-537.045445	1848.5835	-551.294589	108.686035	-628.633265	335.648446	3244.40565	-86.9203214	-558.305815	300.348144	4104.56013	-271.462911	2636.61956	-393.712293	-760.555437	-253.45384	680.034734
18	297.294497	0	-512.260461	12397.0151	-501.963746	-204.244601	4514.09112	-207.728462	190.168627	-153.367482	7232468680000.0	9394515.55	76057.3562	19603.4794	-674.470467	7345.78172	6190.21129	-118.740858	1215620900.0
20	297.466146	0	-535.39669	-74.289784	269.066122	-373.488234	-663.116692	-264.693258	-476.66297	207.34937	102637858.0	-294.037078	9324.93824	-401.922506	-83.327263	-301.877429	-292.882464	-232.016471	-402.679467
