time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	316.139883	0	-645.491568	-645.491568	12143.8058	-246.579838	-484.482142	-580.946928	-467.26515	178483.092	-108.272755	-606.927716	-429.232907	37872808.1	21617.0833	156720731.0	709983.818	21335.1257	-463.577076
2	300.341342	0	-586.5946	89432.2722	-460.738245	-597.5546	676.306979	461117.658	-422.34773	8448790.68	579.861454	945.677402	4080986680.0	-129.645987	23161.6083	1613.72002	28874.1914	17551452400.0	349407.163
4	303.640498	0	-560.719466	-366.647817	-611.009467	-200.290154	691.544598	163.499934	-488.429011	9916.15148	2380.03948	905.396486	-476.298417	85824609.1	45496.9997	18264438000.0	-683.237864	-252.941203	-522.61759
6	299.682532	0	-585.211374	124333.74	443.248531	593.246307	-510.85919	-577.291374	11075.9957	-427.205538	34539138.9	5413091.35	542941.461	15682.1708	757.769189	1349.7238	-471.639943	-382.123886	-295.671206
8	295.138595	0	-586.62171	-440.876252	11885.2054	-376.861353	-489.823465	-578.70171	12190.4469	-231.712102	16504320.9	21014309.0	21985.7945	9749.01633	153.327876	370.535515	-434.673485	-80.2015231	-248.344193
10	302.445769	0	-538.182527	647.694356	-382.161223	-227.563113	-665.902528	-129.395619	108.825535	37648.0788	2031996.51	9433.29163	5495.46927	-14.2622012	-275.262773	736.552581	16660483.9	-73.3168892	68.4101437
12	299.559657	0	-511.111723	137.748647	474.766259	1.50763621	1043.37991	-147.840974	-564.811724	1627.03186	1360.98375	2238.76086	1157.27857	966.885122	1099.20879	-10.6540563	-384.745427	10366965.6	567.225777
14	293.062076	0	-578.228398	-501.263308	-323.401933	-589.188398	-552.651571	3.90694402	3786.51561	3535.96503	17877573.6	3800.11557	23682.8388	511127.424	3512.70704	1998.11116	-77.3601707	-356.619958	177075.281
16	292.54704	0	-587.370518	-240.28181	-464.416455	-311.629607	-715.09052	-158.757038	-516.893932	2656.6494	1679.08663	11844.2553	-88.7339741	117.044105	-549.067253	-22.5040387	-436.094324	1930.13138	-490.736916
18	297.492644	0	-494.509803	-221.779112	-406.334299	-297.915042	-622.229805	-47.8786928	-421.349075	183958.764	595.686931	242.414251	457.991486	601.64237	-532.452062	460.20557	3541.07888	240.405147	13990.0093
20	298.000663	0	-578.445368	-518.992066	61623.0235	-589.405368	-568.127088	-463.720385	-355.78466	5209.6203	49241254100.0	675.283091	3624.48763	153217868.0	669.980915	-403.208115	-406.775063	456.170261	7174.67685
22	298.12502	0	-502.723403	-258.34173	256917.342	1866224.36	-630.443404	2745689.37	-236.700173	2148699.7	194390.356	4400.50973	1616221170.0	32361052.5	756.381748	26429.889	586002.798	-49.9522992	1255573.4
24	292.780641	0	-510.019687	-301.04495	94.5160985	5239.09604	-637.739689	164.202405	12166.8901	1309.98121	650.441055	756.062731	1698999.6	12066.8782	36538.0665	-160.809834	907.822598	1538.01351	27490.6635
26	300.193282	0	-506.323632	-131.424228	241.577203	-73.0934552	-565.739155	557.652909	-481.78026	9516058.56	-417.538628	-261.45325	3.37645772	-157.257524	-668.533639	6.54385356	-564.431017	32.2640474	2239.78757
28	298.614937	0	-491.564064	7608.14992	-410.703816	-139.116013	-590.629398	7385.47441	-234.378069	224307.297	-334.177135	10063.5154	493.422159	-17.7834799	-653.774047	279.102072	1697.77177	568.688594	65.9607619
