time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	300.729136	0	-527.241083	-527.241083	1696.47191	-244.779512	-236.109812	428.536698	33721.0134	1273260.29	2524180.59	-377.932717	-282.372156	33366.4154	572.452199	3555.26022	3556.63309	407455.248	54820007.1
2	295.952482	0	-429.147545	-208.69041	-324.633457	-221.688456	-580.51754	-162.205611	-232.507925	281.97188	983074.007	1246.65257	579.472166	11631.3671	3134.87464	1624.41658	5867.1775	15.9361455	1754879.08
4	295.223191	0	-380.969113	74053.1318	-449.459111	62.01401	186213.226	32248.5813	-268.919537	6969.74804	2002.77659	1983.74612	37937428.3	-36.3827608	157924157.0	17270554000.0	-472.063086	-41.4134008	8998.92305
6	298.830557	0	-338.128715	50.4178984	-256.55559	-108.365534	-489.49871	-20.7574057	-251.584741	1963.59036	3545.77487	6206.52549	1763.82133	25302.623	2308.36334	1448.17783	186710.749	23012.9891	1130609810.0
8	301.582129	0	-473.625499	-353.142766	-197.637679	-391.060859	471.775482	-387.946074	-285.692171	24051.4284	-158.343648	-541.055499	-2.1190375	440.938793	6702.91772	55673.2431	790.886617	81.6060644	58184.7704
10	298.997409	0	-448.389545	2920.98635	25662.7743	1186.814	-599.75954	5441.71984	7863.415	584.516591	670077.709	684.738713	335.256821	26644.7566	2044093.7	7397.18794	31544.7945	-18.8812885	22613.3137
12	298.183292	0	-513.074364	-409.939714	-306.896186	-430.162746	-340.640583	-384.542662	-286.868937	516684.01	537.628482	-580.504365	145126.791	433.895891	-424.410366	-267.637713	-516.902023	910376.529	-202.140211
14	295.391447	0	-390.345372	166.572462	-401.94813	-117.07146	-541.715367	-85.928147	-399.592077	314.735516	152335.631	360.499312	-288.87075	2158377.47	169.290889	1084494.18	236840.568	149.466891	3655.64576
16	297.649852	0	-381.683875	-164.39145	3234.61948	-93.5271997	-413.095615	-158.354373	-389.251097	159.708275	434.900198	2144.21429	3243.58048	167.342918	-76.4390042	327.746899	-454.6887	-147.531353	-451.443878
18	294.416166	0	-363.357302	1831.40973	-431.847261	283.968029	-409.162149	-146.298058	-404.943641	339.383582	29707.2866	843.348368	418.244526	72.7557002	-273.297344	481.075073	568.417463	185744.226	-207.533398
20	303.781483	0	-331.961159	-117.072294	-309.213377	-191.210859	-483.331154	-149.566454	3111.41235	123.320888	2206.12246	46.8015115	-338.101	986831375.0	13009.1301	472002563.0	102457.494	-49.895637	158.887895
22	302.534535	0	-424.445888	-376.547888	-300.637295	24.1112596	-162.148088	-413.535888	-356.531483	10242.8726	30072484.3	4507871.76	-291.595435	-87.2061151	655016.481	2996.28672	30328780800.0	701932846000.0	4678.87038
24	298.470266	0	-404.753295	1899.45808	3856.04695	398.922415	-388.877676	107.475674	-370.536047	44268.4604	-251.923626	49.390811	8961.0605	676.859968	-583.613295	124409.596	-269.015003	-70.1100789	542781.248
