time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	302.210584	0	-527.241083	-527.241083	1696.47191	-244.779512	-236.109812	428.536698	33721.0134	1273260.29	2524180.59	-377.932717	-282.372156	33366.4154	572.452199	3555.26022	3556.63309	407455.248	54820007.1
2	290.058509	0	-492.582162	-385.100983	-271.00641	-425.405007	-423.99804	-315.533765	-290.764652	34018.8584	34588.5952	-560.012163	-495.605916	-329.921625	-406.048567	-541.517364	-456.155602	-116.217371	-269.606009
4	297.829769	0	-406.915405	-360.448982	-252.2758	-389.393692	208.447865	-350.873173	-224.195957	-411.215402	640.229021	13268.6061	-376.317425	12.9690797	123137.046	-271.906847	-451.885702	72890.1325	-224.829936
6	296.219912	0	-351.995464	522.024217	2467.31893	153.372952	-428.890516	-37.1008871	15587.963	494.625787	19054.8052	25521.3205	-518.575466	3089.80077	-309.006341	-249.557621	57316.128	9570.18986	1051.92845
8	292.087293	0	-379.677305	-334.908679	-294.282471	-240.816021	191.679708	-337.641072	-255.122533	-56.9185461	10579.3625	-343.482804	6202.2945	324.235766	-264.353374	-329.951753	7898.84349	-348.987296	-244.291202
10	304.318813	0	-357.270984	3266.4973	-137.13177	-75.2541887	9639.24993	32.9163904	677.51084	-181.075207	778.475563	11313.0368	23378.9678	-154.877981	-245.808024	730.509872	9748.23047	-160.17755	-427.030986
12	296.225805	0	-458.189969	-399.747679	-320.658064	-411.277432	-415.33763	-390.527182	-286.052335	2173.39435	-95.1276149	-525.619969	-494.771241	-425.333627	118.686735	-567.683153	2645.80211	-345.811832	-124.124277
14	297.24843	0	-303.44094	56.5480372	55994.5649	-15.9214336	-454.810935	314.61151	31128.1501	3861.06659	220.603199	851947.098	528293.859	94.7914584	60579.3933	47297513.8	-46.7754359	324.717225	288738.352
16	296.429437	0	-375.510086	24059.9039	1423.32808	-217.663811	-526.880081	887.98722	2913.03505	7855870460.0	122.155539	43715540.1	107181.883	34243.2652	59758.1153	16477.0369	99.1414443	11001.9869	-137.99985
18	301.554701	0	-399.254025	-223.503053	-261.638094	-388.300515	-270.178468	-344.94717	-218.71897	-385.985579	-240.178926	-399.204494	-383.921943	-400.101722	-373.310651	-557.576644	-271.364179	-342.546073	-202.661065
20	293.100658	0	-340.032692	184.921659	-408.52269	288.673033	556.791694	323.810275	-370.041891	-62.5187656	-310.020664	844.248599	768.397878	2776.48468	-272.248197	-191.660768	-306.423864	1732.22508	-266.049953
22	294.964193	0	-358.38111	-127.934927	-196.964768	-374.35111	10.9272259	-215.880151	-207.120655	457.137182	4078.99599	14597.7329	15378.0096	538.650763	8970.21071	2037.98298	9165.09844	24489.8542	-49.4127879
24	304.520613	0	-399.334202	-346.583969	-196.259706	-415.304202	-392.184032	-150.282284	-178.299893	3679.93946	3290.7207	2168.55129	5016.72947	2730.49746	89.1824163	8856.79772	20289.531	-241.111109	523.769587
26	299.446982	0	-487.817814	-408.002207	-349.211721	-462.972614	-337.164947	-419.733713	-303.257263	-343.362798	-372.15766	58.0981163	228.446406	-460.67795	-222.035966	-646.147816	229.675449	-404.383883	122.825092
28	295.308187	0	-379.666335	-379.665825	-227.491518	-329.870171	-368.668973	-347.724979	-234.096437	590.02273	-149.177193	269.57398	-200.228282	716.191091	-143.942552	-257.986982	-322.267797	1372.66776	195.758907
30	296.770462	0	-391.291507	-339.367757	-231.237175	-369.787716	-327.836246	-323.487001	-232.585555	-193.172711	-223.326206	-383.893647	-248.16486	-286.402255	2904.51231	-549.621508	-439.246279	-304.148695	-85.8328112
32	296.020239	0	-387.728965	-46.9857353	-309.818701	438.903034	-412.001244	56.2005154	-456.718963	421.241327	20625.8085	209032.687	5426.85191	271.083292	14898.1163	5425270350.0	2057.62315	6657790.01	4730.56429
34	304.039891	0	-379.436746	-182.259208	69.6891937	-138.335644	-452.737642	-150.752612	-363.194978	-65.4458111	61347.1828	3349.97292	-305.320134	4740.67102	3140.9441	167.286261	-614.47674	1437.34534	-19.1987372
36	295.816218	0	-377.585466	-114.481441	-374.463125	-122.286477	-487.546472	-83.8197592	-365.033428	48.1322624	-377.976397	482.038293	-330.227687	-91.2980913	-478.95948	-291.741179	-612.62546	-80.0343906	-286.664379
38	302.630656	0	-404.336163	-128.002306	84.5225404	-96.4307521	-289.412551	-42.1368723	-473.326161	218057.588	55.6327213	-36.6626601	35458.903	1446.87888	-331.851715	83.1100355	33638.4566	1136002.36	463.080574
40	297.212026	0	-381.602124	254.357866	-450.080234	1040.16771	-435.05106	-94.4353248	-437.356239	64792.5295	-369.024066	377.61222	-298.693667	25014.6599	-163.16902	-209.189138	2916.65133	12050.0534	1283.15949
42	292.983336	0	-425.901816	-358.739677	1229.45404	-390.057973	-389.54123	-354.062189	-213.783816	-302.170235	-254.860077	-493.331816	-425.388354	-389.979852	-413.994652	472.299606	-468.929743	-345.371675	161.606038
44	300.697318	0	-410.24208	-146.286345	-393.844701	-143.782745	-561.612075	-123.902731	-358.606625	187.197905	-154.335971	1501.45998	1926.78424	-106.078502	2852.79699	-30.928182	-181.492871	923.381336	58.6974955
46	298.439384	0	-383.019612	40.7207819	114.304048	-179.887368	-534.389607	4191.2377	-17.2936858	86.4503471	-9.18638011	5855.51541	521520.908	375.751864	321107.197	1290.68744	-325.196633	9655.2568	17722.0013
48	291.091069	0	-368.953393	1797.09439	114.807639	816.121026	-433.395633	713185.43	-350.53419	2094.13365	67179.7208	61243.0526	-535.533395	-89.900644	774.09799	24130.6529	-126.63741	5474718.2	1371.88656
50	297.904463	0	-397.957946	152.203467	-301.118757	2470.0592	-343.045438	-354.155744	-294.538665	-386.039461	-324.820412	-428.160763	341.442115	-337.584671	-392.589014	-479.596243	-455.131198	-367.264379	-296.536815
52	297.063373	0	-379.440549	-104.113837	-405.848875	-11.6354113	-410.636088	28655.0082	-448.430547	151.93896	-311.19873	-82.3239234	-365.550967	222768524.0	18784.1105	-110.878679	-502.012688	-87.2791374	-371.409606
54	298.765536	0	-494.787958	-440.17204	-254.043108	-480.630656	-387.180586	-384.063048	-249.376363	-479.10609	-325.98294	-515.408886	-399.499204	-476.122407	8955.78236	-653.117165	-504.913578	1051.59982	-235.182057
56	297.473742	0	-377.878651	-195.660655	-382.003374	-169.55068	-455.357803	-144.34414	-398.400319	-127.600848	-477.234951	305.425899	3884.76995	467.766679	-524.969102	-322.565452	-600.032668	-17.6249353	-238.198428
58	298.673589	0	-393.800999	-355.588462	-275.834866	-256.928893	-354.073417	-313.30307	38.9645267	-398.100998	-114.724945	5631.39169	27078.4366	-373.859921	-422.17634	-324.604236	-485.818209	-52.599477	-297.932726
60	299.536904	0	-441.516374	-231.01488	-336.952171	-236.556385	-532.462778	-179.137283	-448.403447	260.363631	-457.707848	80622.1321	-608.096376	1106.80147	-455.689438	16140.0484	-629.466476	-148.654423	544.111618
62	298.423589	0	-487.101425	861.469918	-212.62835	-503.071425	-237.131924	2339.43486	2795.29694	527.382378	-205.034806	-69.6873891	-187.282849	630163.762	-305.435961	2862.10332	1058.39001	15342.9764	208308.045
64	300.833022	0	-351.887687	2.79385085	-381.382397	-64.0851199	-468.228986	-28.2738342	-322.476102	-65.6759016	65.6279699	-74.5925918	-465.746081	75.3758278	37825.4273	14546.0232	-586.927678	3286.188	-213.809636
66	291.801257	0	-364.835432	-311.083935	180.081948	-291.934296	-338.849408	-353.925432	-298.997964	18828.1093	825.463381	2039.34871	395.744385	4564.32621	-369.501248	163232.386	-389.481775	293710.544	97648571.6
68	293.525822	0	-453.860148	-410.376665	522.116101	-234.280368	-310.114477	-442.950148	-294.73833	304.392278	1274.71199	-343.610938	-289.149337	-187.960516	288.856344	-518.712708	12058.828	-229.793386	-6.63657302
70	296.60313	0	-387.540413	-297.845304	3050.34794	-322.253863	-379.192449	-376.630413	-290.958568	76.6338835	-198.269279	-209.301751	-259.794841	-261.003563	-375.207763	318.622858	259.376139	235.821261	188.345618
72	302.410641	0	-401.247266	-355.544607	-246.839824	-231.142141	-334.567365	-390.337266	-311.547851	-3.22744149	1313.86811	513.541407	-78.4190661	438.588551	1329.09731	705.764074	-321.672398	-148.354554	-147.071405
74	301.126039	0	-403.76979	4.08898121	-135.214469	-49.6951554	-59.0566898	-1.98348648	-472.759788	215.055409	-91.991848	160.151902	558.746363	237.509868	6759.63116	-64.594631	-280.380824	32970.0992	908.460585
76	294.067633	0	-416.852047	6289102.89	-323.93577	-294.580599	-192.982207	972.575828	26.5648051	177972.223	509792.475	1264.14099	4529.4105	-432.982046	-152.02622	33042.7038	-441.881123	976.151932	405720.837
78	295.449688	0	-426.631171	-218.421539	468.72248	-403.383283	2470.28614	-344.82149	115431.957	60814.205	16784.6811	971.430186	29452.6811	-442.76117	-407.366278	3432.10368	-172.834361	-65.8571862	25276.155
80	293.594788	0	-397.182938	-162.376853	-446.127091	-109.693445	-298.993152	-164.50833	-466.172007	589.161549	213.376704	2146.90585	-416.442579	-11.6752732	-487.773768	26.9065883	-545.291585	283.847824	-377.079119
82	298.716081	0	-359.919232	-115.61448	-428.40923	-51.4503092	7926.57833	7747.35873	3079.41095	102987.794	30860.1198	731.124049	805.542204	19.1889579	86.7659587	-211.810822	2547.36574	29.566704	1054.45754
84	296.132319	0	-374.638023	-84.9388057	-347.709076	-113.33288	-376.96382	37502.049	222.351643	1326.62471	-435.559524	-133.209294	-417.66913	-140.636147	-553.498023	72744882.0	-562.509247	307.358902	701.657191
86	292.921707	0	-469.686303	-411.578209	-326.385493	-287.969776	-149.567825	-458.776303	-382.976689	90.4142235	-204.401036	-344.32145	-347.685974	-276.248156	367771.848	-343.049573	-312.498628	-134.690869	-161.642983
88	304.764287	0	-375.707417	-125.102152	-422.626039	-114.434256	-470.846661	-97.2449426	-398.090825	2168.85251	13967.4176	-148.476776	1596.87726	-47.0680258	-277.282136	-298.824549	-610.747	51.8922598	5.01675131
90	297.774465	0	-488.817609	-440.271675	-327.251538	-302.392056	-214.949812	-384.833673	-317.398297	422.02018	-269.319737	-461.557553	-369.589532	-338.856247	-395.957555	-647.147611	-427.297024	-335.102022	-192.547702
92	298.687518	0	-470.697809	-345.161903	-307.820312	-431.391521	-389.447615	-394.749542	-303.568086	-388.511391	220.163884	-422.148464	-402.233734	-383.241682	-407.313815	-629.02781	-506.452193	-330.183097	-22.2230405
94	296.090558	0	-349.029887	-51.9012304	-333.353777	-82.925631	-414.462436	-91.6634147	-175.954105	-108.342652	2068.1016	-135.683037	-446.345909	-92.6403291	-474.976366	3206.6288	-584.069881	-80.7292452	-319.030649
96	292.688695	0	-393.082228	-162.534461	-381.676601	2145.61995	-403.888889	-142.249471	-241.380526	10092.4609	-434.509873	5091051.51	-559.66223	70.7557098	-449.349335	80.7982465	-241.409663	-67.0216685	-330.997219
98	302.187021	0	-384.248518	-341.097886	-113.440341	-335.698945	-369.883053	-325.610256	-105.246995	-388.548492	-333.609691	-415.502365	-399.987737	-327.541226	-404.488688	-513.224971	-423.229687	-322.035662	-206.845833
100	301.554858	0	-358.162274	82.2235098	-374.727055	-119.833474	-313.94964	342.964433	-241.385198	67.182226	-362.820591	323.330841	-339.586359	506.640013	-468.314201	592031.044	-593.202268	78.6818002	97.5095381
102	296.993708	0	-351.086083	-108.551726	-340.448819	-114.554266	-461.134796	-98.1867614	-217.98203	78.4688928	-128.356085	-143.616936	-299.38995	-136.179608	-505.709908	1671.16886	-586.125937	-9.59116632	-304.247564
104	297.511641	0	-401.772679	-155.974136	-350.575357	-201.871185	-510.95165	-147.371236	-383.827318	-197.566305	-86.6391202	-254.683907	-486.933232	-219.723195	-580.632679	2237.41102	-587.166449	66.7703737	-416.275296
106	296.707058	0	-461.864841	-333.061197	-243.53614	-413.398891	-392.976081	-392.176934	-256.536727	-414.381986	50.8405151	-529.294841	-452.088507	-394.168559	-122.396612	-568.123612	-483.106355	-264.019793	15488.5513
108	297.296807	0	-393.01215	-202.892976	-412.891516	-183.815036	-470.233321	32534.5137	3238.02159	1751426110.0	-309.000944	-237.920518	-192.081996	29.053575	-462.084825	1377033.1	-628.052143	-47.6209242	235943027.0
110	299.262447	0	-397.325952	-229.746883	-190.938166	-316.837308	-290.563286	-254.184908	-80.1153796	-241.66706	-44.1637438	-464.755952	607.961896	36.3580651	125.766399	-370.670764	-1.03131136	127.978436	-46.416273
112	296.335624	0	-401.138266	-167.985316	-469.628264	-73.4312252	-417.206662	-10.4347488	-305.776232	1.10449686	-230.388304	-0.787453285	97.357948	54040.4782	-430.328087	-32.5940441	156.365982	863.83254	630.617227
114	297.114211	0	-462.99734	-433.275604	-255.243575	-426.078341	-412.609072	-372.002686	-262.889483	-451.179796	-382.091076	-500.756377	-414.862819	-412.662213	-444.467478	-586.662601	-518.958172	-432.303597	-318.993825
116	302.236089	0	-386.753016	-126.712582	-409.519715	-18.9069217	-477.141002	-114.295749	-400.835896	57.272893	31288.5104	-114.807989	2179.56989	-65.9604606	2360.727	12374.2778	-621.793009	77615.0093	975.352503
