time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	298.669788	0	-527.241083	-527.241083	1696.47191	-244.779512	-236.109812	428.536698	33721.0134	1273260.29	2524180.59	-377.932717	-282.372156	33366.4154	572.452199	3555.26022	3556.63309	407455.248	54820007.1
2	300.065426	0	-445.339693	-328.580605	-255.691448	-461.309693	-450.201529	-334.635648	-191.918505	2312.12635	2757.11747	-296.080052	-314.784604	2423.66377	3909.90352	769129.906	3781164930.0	2784.83371	1475.73058
4	298.948381	0	-437.751889	-342.145649	-258.120075	-453.721889	-363.309231	-292.627483	-166.493181	-369.950578	12511374.1	968.052411	-269.304771	969.766241	-264.21892	-499.170958	-262.670453	-241.534607	-235.35218
6	300.491664	0	-424.18723	9053.08182	881.308367	-177.872273	1723.30312	1871.94937	-427.914362	4066.49536	9793.69268	4158.47742	103395.232	695.058581	147970.019	5699229.84	-518.468542	-233.374126	-493.947232
8	299.935902	0	-358.808809	-210.294609	1179.37733	-52.7665552	-510.178805	225.478979	-353.739903	5581167.81	-170.704536	-130.443717	1357.5317	-53.3644909	-483.242755	1101.95741	-529.057469	548.592502	90548.351
10	298.888488	0	-348.789711	-153.766633	497.441735	-115.938066	-500.159706	146.65977	-376.303331	1463.31113	549.043064	218.096703	-297.734853	953.622314	-211.318177	-140.325983	-271.738466	1074.47842	5033617.72
12	299.165509	0	-419.284342	14.2442597	-189.136577	-155.972371	-570.654338	-29.5588488	-186.52019	4629.47388	788.561644	3748.96902	2980.94626	634.305107	-368.861211	-187.265244	-437.812957	16819.0445	196402.424
14	299.689117	0	-366.020222	-203.983288	-408.451938	-169.387535	-478.912899	-183.97689	-191.510815	612.797117	-303.609915	-274.054989	-532.600154	848.123816	-510.145432	-345.423773	-527.129654	-138.856881	-395.725798
16	298.361943	0	-450.799926	-426.519095	-332.533981	-265.958303	-322.831266	-439.889789	-143.915159	-63.7208399	403.124211	-74.7396397	488.95992	406.895935	10596.7396	-463.834146	11291.7001	514.070038	-163.507897
18	298.747897	0	-420.230765	-420.230765	-279.47072	-330.57041	-228.623164	-37.499969	117.150732	-153.114851	297507.85	6312.94677	-152.709975	15.2953994	-240.725843	643.968526	23617.3491	-203.357848	-279.064935
20	297.770484	0	-419.557732	183.669065	-488.04773	-16.6857494	-343.060801	-124.123745	-296.726397	193.1393	-335.573746	159.791975	-284.684237	1146.27071	-198.886094	683.904162	-378.059184	68.3319615	-95.130128
22	297.916738	0	-329.066686	144399906.0	-368.605144	797.343211	459153.138	49225.9835	-398.056663	3704.16999	4916.38078	12819.8457	5141.03415	80804.8514	125020583000.0	1959.95399	-184.363831	131377.024	48572.5765
24	301.300187	0	-384.822244	-7.50759458	10.5294851	1118.09293	-536.192239	-133.177168	-339.282237	31589648.3	69431.7888	14419.5859	-231.133598	269.618221	3071.52583	-71.8107892	-236.341155	-106.026201	714382.975
26	300.145513	0	-446.936747	-378.802666	-225.598275	-462.906747	-139.500156	-336.069696	153.189465	-128.389586	388.540526	9054.16926	-331.221983	-318.6173	96836.0821	-484.512744	-208.563523	-246.075382	1367.51022
28	298.906384	0	-394.658542	-148.629194	-385.809662	-47.7695721	-546.028537	66.9647923	-342.687836	52867762.2	2014.76704	292.521229	1104.18007	238.864733	197.840426	256.329076	-193.885428	-42.5332211	-262.536979
30	299.18003	0	-382.696774	-160.4729	-427.614232	-136.561172	-466.525404	-193.382974	-273.894786	-179.424634	-453.022436	-208.809415	-442.197745	-33.5271621	4893.05814	-318.340946	-589.32264	-201.061183	-452.456547
32	287.439998	0	-426.218682	-280.713104	-229.891983	-387.621259	-423.185515	-352.385976	-281.771677	30.1200361	1047.01709	-340.104374	-416.649925	-442.348681	-261.831311	-278.042444	-324.71125	-351.507711	-273.996437
34	301.409544	0	-413.923592	-253.191403	60.8639417	-372.548701	-228.545701	-273.759276	-236.623571	95.6410776	-355.152795	-481.353578	2281.23238	1074.2984	409.34291	-542.402185	-453.008141	-339.693522	-172.041301
